id,Geo_NAME,name,rate
05059,Jackson County,"Jackson County, Arkansas",35
05061,Jefferson County,"Jefferson County, Arkansas",43
05063,Johnson County,"Johnson County, Arkansas",30
05065,Lafayette County,"Lafayette County, Arkansas",32
05067,Lawrence County,"Lawrence County, Arkansas",39
05069,Lee County,"Lee County, Arkansas",43
05071,Lincoln County,"Lincoln County, Arkansas",40
05073,Little River County,"Little River County, Arkansas",46
05075,Logan County,"Logan County, Arkansas",38
05077,Lonoke County,"Lonoke County, Arkansas",41
05079,Madison County,"Madison County, Arkansas",45
05081,Marion County,"Marion County, Arkansas",34
05083,Miller County,"Miller County, Arkansas",30
05085,Mississippi County,"Mississippi County, Arkansas",41
05087,Monroe County,"Monroe County, Arkansas",31
05089,Montgomery County,"Montgomery County, Arkansas",27
05091,Nevada County,"Nevada County, Arkansas",39
05093,Newton County,"Newton County, Arkansas",43
05095,Ouachita County,"Ouachita County, Arkansas",44
05097,Perry County,"Perry County, Arkansas",24
05099,Phillips County,"Phillips County, Arkansas",43
05101,Pike County,"Pike County, Arkansas",40
05103,Poinsett County,"Poinsett County, Arkansas",41
05105,Polk County,"Polk County, Arkansas",36
05107,Pope County,"Pope County, Arkansas",45
05109,Prairie County,"Prairie County, Arkansas",29
05111,Pulaski County,"Pulaski County, Arkansas",41
05113,Randolph County,"Randolph County, Arkansas",36
05115,St. Francis County,"St. Francis County, Arkansas",35
05117,Saline County,"Saline County, Arkansas",36
05119,Scott County,"Scott County, Arkansas",34
05121,Searcy County,"Searcy County, Arkansas",33
05123,Sebastian County,"Sebastian County, Arkansas",48
05125,Sevier County,"Sevier County, Arkansas",30
05127,Sharp County,"Sharp County, Arkansas",38
05129,Stone County,"Stone County, Arkansas",25
05131,Union County,"Union County, Arkansas",35
05133,Van Buren County,"Van Buren County, Arkansas",33
05135,Washington County,"Washington County, Arkansas",41
05137,White County,"White County, Arkansas",41
05139,Woodruff County,"Woodruff County, Arkansas",35
05141,Yell County,"Yell County, Arkansas",37
05143,Alameda County,"Alameda County, California",32
05145,Alpine County,"Alpine County, California",33
05147,Amador County,"Amador County, California",33
05149,Butte County,"Butte County, California",37
06000,Calaveras County,"Calaveras County, California",24
06001,Colusa County,"Colusa County, California",22
06003,Contra Costa County,"Contra Costa County, California",17
06005,Del Norte County,"Del Norte County, California",30
06007,El Dorado County,"El Dorado County, California",30
06009,Fresno County,"Fresno County, California",28
06011,Glenn County,"Glenn County, California",39
06013,Humboldt County,"Humboldt County, California",25
06015,Imperial County,"Imperial County, California",34
06017,Inyo County,"Inyo County, California",26
06019,Kern County,"Kern County, California",33
06021,Kings County,"Kings County, California",34
06023,Lake County,"Lake County, California",25
06025,Lassen County,"Lassen County, California",33
06027,Los Angeles County,"Los Angeles County, California",27
06029,Madera County,"Madera County, California",31
06031,Marin County,"Marin County, California",34
06033,Mariposa County,"Mariposa County, California",22
06035,Mendocino County,"Mendocino County, California",33
06037,Merced County,"Merced County, California",22
06039,Modoc County,"Modoc County, California",37
06041,Mono County,"Mono County, California",18
06043,Monterey County,"Monterey County, California",16
06045,Napa County,"Napa County, California",30
06047,Nevada County,"Nevada County, California",33
06049,Orange County,"Orange County, California",26
06051,Placer County,"Placer County, California",29
06053,Plumas County,"Plumas County, California",25
06055,Riverside County,"Riverside County, California",24
06057,Sacramento County,"Sacramento County, California",18
06059,San Benito County,"San Benito County, California",20
06061,San Bernardino County,"San Bernardino County, California",20
06063,San Diego County,"San Diego County, California",24
06065,San Francisco County,"San Francisco County, California",28
06067,San Joaquin County,"San Joaquin County, California",30
06069,San Luis Obispo County,"San Luis Obispo County, California",36
06071,San Mateo County,"San Mateo County, California",31
06073,Santa Barbara County,"Santa Barbara County, California",20
06075,Santa Clara County,"Santa Clara County, California",17
06077,Santa Cruz County,"Santa Cruz County, California",36
06079,Shasta County,"Shasta County, California",29
06081,Sierra County,"Sierra County, California",23
06083,Siskiyou County,"Siskiyou County, California",24
06085,Solano County,"Solano County, California",20
06087,Sonoma County,"Sonoma County, California",19
06089,Stanislaus County,"Stanislaus County, California",27
06091,Sutter County,"Sutter County, California",19
06093,Tehama County,"Tehama County, California",35
06095,Trinity County,"Trinity County, California",29
06097,Tulare County,"Tulare County, California",24
06099,Tuolumne County,"Tuolumne County, California",32
06101,Ventura County,"Ventura County, California",30
06103,Yolo County,"Yolo County, California",35
06105,Yuba County,"Yuba County, California",29
06107,Adams County,"Adams County, Colorado",37
06109,Alamosa County,"Alamosa County, Colorado",30
06111,Arapahoe County,"Arapahoe County, Colorado",20
06113,Archuleta County,"Archuleta County, Colorado",24
06115,Baca County,"Baca County, Colorado",29
08000,Bent County,"Bent County, Colorado",22
08001,Boulder County,"Boulder County, Colorado",29
08003,Broomfield County,"Broomfield County, Colorado",31
08005,Chaffee County,"Chaffee County, Colorado",23
08007,Cheyenne County,"Cheyenne County, Colorado",24
08009,Clear Creek County,"Clear Creek County, Colorado",31
08011,Conejos County,"Conejos County, Colorado",33
08013,Costilla County,"Costilla County, Colorado",14
08014,Crowley County,"Crowley County, Colorado",20
08015,Custer County,"Custer County, Colorado",16
08017,Delta County,"Delta County, Colorado",24
08019,Denver County,"Denver County, Colorado",21
08021,Dolores County,"Dolores County, Colorado",27
08023,Douglas County,"Douglas County, Colorado",25
08025,Eagle County,"Eagle County, Colorado",29
08027,Elbert County,"Elbert County, Colorado",21
08029,El Paso County,"El Paso County, Colorado",24
08031,Fremont County,"Fremont County, Colorado",17
08033,Garfield County,"Garfield County, Colorado",22
08035,Gilpin County,"Gilpin County, Colorado",20
08037,Grand County,"Grand County, Colorado",16
08039,Gunnison County,"Gunnison County, Colorado",25
08041,Hinsdale County,"Hinsdale County, Colorado",23
08043,Huerfano County,"Huerfano County, Colorado",30
08045,Jackson County,"Jackson County, Colorado",25
08047,Jefferson County,"Jefferson County, Colorado",22
08049,Kiowa County,"Kiowa County, Colorado",18
08051,Kit Carson County,"Kit Carson County, Colorado",14
08053,Lake County,"Lake County, Colorado",24
08055,La Plata County,"La Plata County, Colorado",26
08057,Larimer County,"Larimer County, Colorado",24
08059,Las Animas County,"Las Animas County, Colorado",21
08061,Lincoln County,"Lincoln County, Colorado",28
08063,Logan County,"Logan County, Colorado",32
08065,Mesa County,"Mesa County, Colorado",27
08067,Mineral County,"Mineral County, Colorado",18
08069,Moffat County,"Moffat County, Colorado",21
08071,Montezuma County,"Montezuma County, Colorado",32
08073,Montrose County,"Montrose County, Colorado",30
08075,Morgan County,"Morgan County, Colorado",36
08077,Otero County,"Otero County, Colorado",26
08079,Ouray County,"Ouray County, Colorado",18
08081,Park County,"Park County, Colorado",20
08083,Phillips County,"Phillips County, Colorado",28
08085,Pitkin County,"Pitkin County, Colorado",20
08087,Prowers County,"Prowers County, Colorado",35
08089,Pueblo County,"Pueblo County, Colorado",35
08091,Rio Blanco County,"Rio Blanco County, Colorado",21
08093,Rio Grande County,"Rio Grande County, Colorado",19
08095,Routt County,"Routt County, Colorado",31
08097,Saguache County,"Saguache County, Colorado",15
08099,San Juan County,"San Juan County, Colorado",36
08101,San Miguel County,"San Miguel County, Colorado",31
08103,Sedgwick County,"Sedgwick County, Colorado",23
08105,Summit County,"Summit County, Colorado",29
08107,Teller County,"Teller County, Colorado",16
08109,Washington County,"Washington County, Colorado",27
08111,Weld County,"Weld County, Colorado",20
08113,Yuma County,"Yuma County, Colorado",16
08115,Fairfield County,"Fairfield County, Connecticut",25
08117,Hartford County,"Hartford County, Connecticut",15
08119,Litchfield County,"Litchfield County, Connecticut",23
08121,Middlesex County,"Middlesex County, Connecticut",30
08123,New Haven County,"New Haven County, Connecticut",29
08125,New London County,"New London County, Connecticut",31
09000,Tolland County,"Tolland County, Connecticut",26
09001,Windham County,"Windham County, Connecticut",21
